"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-02-24,2019-03-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-03-28,2020-04-01,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-08-18,2020-08-25,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-05,2019-05-10,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-20,2019-04-25,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-28,2019-02-15,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-07,2019-11-09,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-09,2019-05-11,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-04-07,2019-04-15,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-01-12,2020-01-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-11,2019-11-19,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-12-23,2020-01-31,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-11,2019-10-12,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-12,2019-09-19,"Black","Unknown","Other","VTL 0511","Non-Felony","Non-Eligible"
2019-08-09,2019-10-08,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-30,2019-01-31,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-21,2019-02-23,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-03-20,2019-03-22,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-13,2019-09-28,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-22,2019-09-07,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-31,2019-12-06,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-08,2019-10-10,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-24,2019-05-30,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-08-30,2019-09-11,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-03-15,2020-03-17,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-04-29,NA,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-21,2019-02-26,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-08,2019-11-15,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-20,2019-02-04,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2020-10-21,2020-10-24,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-12-05,2020-01-10,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-12,2020-03-27,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-03-17,2019-03-19,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-25,2019-03-02,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-04,2019-03-23,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-09-03,2019-09-04,"White","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-01-11,2019-01-12,"Black","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-01-16,2019-02-20,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-01,2019-05-14,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-07-10,2019-07-13,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-18,2019-03-07,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-14,2019-02-16,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-05-02,2019-06-18,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-01,2019-10-25,"Other","Unknown","Sentenced","VTL 0511","Non-Felony","Non-Eligible"
2019-03-31,2019-04-06,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-02-10,2019-02-16,"Other","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-11-20,2020-01-03,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-10-08,2019-10-25,"Black","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
2019-06-25,2019-08-31,"Unknown","Unknown","Pretrial","VTL 0511","Non-Felony","Non-Eligible"
