"admission_date","release_date","race","ethnicity","admission_status","charge","severity","bail_eligible"
2019-12-28,2020-04-25,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-24,2020-02-27,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-07,2019-08-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-17,2019-02-21,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-13,2019-08-22,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-23,2019-11-18,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-18,NA,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-04-24,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-22,2019-03-13,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-24,2020-07-28,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-27,2020-02-25,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-10-17,2019-11-02,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-01,2019-02-07,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-15,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-30,2020-10-03,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-02,2019-09-25,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-10-15,2019-12-12,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-09,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-01,2020-03-17,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-07-14,2020-03-16,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-15,2019-06-18,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-03,2019-07-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-10,2019-09-09,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-02,2019-08-24,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-09,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-05-28,2020-07-23,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-06,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-20,2019-06-27,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-02,2019-01-22,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-27,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-17,2019-05-02,"Black","Unknown","Sentenced","PL 140.25","Violent Felony","Eligible"
2019-08-12,2020-05-12,"Asian","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-04-26,2019-12-20,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-01-27,2020-05-28,"White","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-03-05,2020-03-07,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-31,2019-10-30,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-11,2019-04-16,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-15,2019-05-15,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-15,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-22,2019-04-17,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-12,2020-01-08,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-27,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-15,2019-03-20,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-15,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-12,2019-03-14,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-30,2019-09-19,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-20,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-30,2019-08-17,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-14,2019-04-16,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-19,2019-12-18,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-26,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-27,2019-05-17,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-17,2019-04-24,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-21,2019-07-30,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-18,2020-06-13,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-04,2019-06-22,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-03-08,2020-06-13,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-01,2020-12-19,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-08,2019-02-14,"Other","Unknown","Unknown","PL 140.25","Violent Felony","Eligible"
2019-10-12,2020-02-29,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-05,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-03,2019-09-20,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-18,2020-05-19,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-23,2020-04-14,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-10-18,2019-10-26,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-10,2019-05-31,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-29,2020-12-10,"White","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-10-21,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-12,2020-11-26,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-13,2019-12-05,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-15,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-28,2020-11-07,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-02-05,2019-02-08,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-21,2019-08-01,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-20,2019-11-15,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-05,NA,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-01-05,2019-12-24,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-01,2020-10-16,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-22,2020-04-03,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-11-20,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-19,2019-10-12,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-28,2019-08-21,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-24,2019-08-30,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-27,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-18,2020-07-30,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-05-07,2020-05-28,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-15,2020-02-04,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-28,2020-04-02,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-10,2020-07-23,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-15,2019-03-21,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-06,2019-04-11,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-03-01,2020-03-18,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-05-04,2020-05-15,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-15,2019-02-22,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-17,2019-11-25,"Asian","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-27,2019-12-12,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-26,NA,"Unknown","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-20,2019-07-27,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-01,2020-07-08,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-09,2020-12-17,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-01-02,2019-08-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-09,2019-08-15,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-02,2019-06-11,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-11,2020-04-23,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-18,2020-03-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-07,2020-11-21,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-03-25,2020-04-19,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-02,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-07,2019-07-13,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-09,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-26,2019-04-30,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-03-05,2020-03-07,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-05,2019-09-19,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-31,2019-05-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-01-05,NA,"White","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-03-29,2019-04-05,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-10,2020-12-24,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-24,2019-12-03,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-30,2019-09-05,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-15,2019-05-03,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-05-03,2020-06-13,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-12,2020-09-17,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-17,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-18,2020-06-23,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-29,2019-12-26,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-03-05,2020-03-25,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-01,2020-07-28,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-30,2019-01-31,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-09,2020-10-15,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-08,2019-02-14,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-10,2019-11-01,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-03-30,2019-04-16,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-09-21,2020-09-26,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-11,2020-11-14,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-15,2019-10-15,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-25,2019-11-30,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-09,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-19,NA,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-03-17,2019-04-15,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-06,2020-12-11,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-30,2019-02-05,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-04-05,2020-05-30,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-15,2019-05-21,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-20,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-03-11,2020-03-20,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-21,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-21,2019-10-22,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-16,2020-05-28,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-03-14,2020-03-18,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-24,NA,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-21,2019-11-28,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-04,NA,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-01,2019-07-03,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-24,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-01-22,2020-03-05,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-05-30,2020-12-04,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-13,2020-07-18,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-31,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-05-18,2020-11-02,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-17,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-04-19,2020-04-28,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-11,NA,"White","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-11-24,2020-12-02,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-05,2019-12-31,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-24,2019-02-14,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-11,2020-09-15,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-11,2020-03-29,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-06-12,2020-12-10,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-09-24,2020-10-14,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-08,2019-12-12,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-15,2020-10-21,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-14,2019-07-04,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-28,2019-05-30,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-12-15,2020-01-18,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-13,2020-12-04,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-04,2020-01-01,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-04,2019-03-27,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-20,2020-02-29,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-14,2020-10-27,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-03,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-12,2019-11-14,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-03,2019-05-24,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-12-14,2020-01-14,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-17,2019-01-23,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-19,2019-03-21,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-09,2019-12-12,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-06,2019-11-16,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-03,2019-01-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-16,2019-10-24,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-17,2019-11-15,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-15,2019-12-31,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-12-28,2020-01-03,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-17,2019-09-17,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-07,2019-10-29,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-26,2019-10-25,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-30,2020-09-30,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-03,2020-12-23,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-09,NA,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-06,2019-08-10,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-20,2019-09-14,"Unknown","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-06,2019-12-31,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-05,2019-07-09,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-25,2019-05-01,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-27,2020-01-24,"White","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-01-23,2019-06-26,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-15,2019-10-23,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-22,2020-11-21,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-11,2019-10-01,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-31,2019-09-20,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-09,NA,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-03-11,2019-05-17,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-23,2019-11-26,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-04,2019-10-01,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-26,2019-10-24,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-01-23,2020-01-30,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-11,2020-03-22,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-21,2020-09-16,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-10-19,2019-11-27,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-07,2019-09-10,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-12,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-15,2019-08-20,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-08,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-09,2020-12-11,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-31,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-20,2019-03-27,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-14,2019-07-12,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-26,2020-06-28,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-04,2020-08-05,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-06,2020-09-24,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-10-11,2019-10-12,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-18,2019-10-29,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-21,2019-03-01,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-09,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-12,NA,"White","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-03-26,2019-03-30,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-13,2019-08-17,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-24,2020-03-31,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-20,NA,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-12-02,2020-08-15,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-28,2019-08-29,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-02,2019-04-12,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-18,2019-08-21,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-15,2020-02-22,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-01-23,2020-10-23,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-03-13,2020-08-07,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-10-18,2020-08-04,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-05-28,2020-06-05,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-05,2019-06-11,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-28,NA,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-01-15,2019-02-01,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-12-04,2020-12-08,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-02-28,2020-03-04,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-17,2020-11-16,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-26,2019-12-17,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-07,2019-10-19,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-02-09,2020-10-05,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-10-14,2020-12-03,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-14,2019-07-02,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-21,NA,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-03,2019-07-22,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-19,2019-07-21,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-15,2020-05-14,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-04-05,2019-05-29,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-02,2019-09-06,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-21,2019-09-19,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-04,2019-10-03,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-11-11,2019-12-06,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-03,2019-08-09,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-01,2020-12-10,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-01-19,2020-05-21,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-07-28,2020-10-01,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-09,2019-09-18,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-07-30,2019-10-19,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-21,2020-08-28,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-31,2019-07-23,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-08-07,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-21,2019-11-21,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-06-23,2019-07-11,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-01-11,2019-03-29,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-07-31,2020-03-03,"Other","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2020-06-25,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-10-02,2020-03-30,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
2019-03-10,2019-03-20,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-05,2019-03-11,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-09-07,2019-12-17,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-11-06,NA,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-03-01,2020-01-08,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-05-26,2019-06-05,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-06-12,NA,"Other","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-07-20,2020-09-18,"Black","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2019-08-24,2019-12-20,"White","Unknown","Pretrial","PL 140.25","Violent Felony","Eligible"
2020-09-05,NA,"Black","Unknown","Other","PL 140.25","Violent Felony","Eligible"
